filename,id,title,text,sentence_count,sentence,question,answer
wiki_32,12043,Aks-i müfred,"Aks-i müfred, bir sözcükteki harflerin sondan başa doğru alınması halinde yine anlamlı bir sözcüğün meydana gelmesini ifade eden edebiyat terimidir.",1,"Aks-i müfred, bir sözcükteki harflerin sondan başa doğru alınması halinde yine anlamlı bir sözcüğün meydana gelmesini ifade eden edebiyat terimidir.",Bir sözcüğün harflerinin sondan başa doğru sıralanmasıyla yeni ve anlamlı bir sözcük elde edildiği edebiyat terimine ne ad verilir?,Aks-i müfred.
wiki_33,12642,Doğangiller,"Doğangiller (Falconidae), gündüz yırtıcı kuşları (Falconiformes) takımından yırtıcı kuş türlerini oluşturan kuş familyası.",1,"Doğangiller (Falconidae), gündüz yırtıcı kuşları (Falconiformes) takımından yırtıcı kuş türlerini oluşturan kuş familyası.",Doğangiller familyası hangi kuş takımına aittir?,"Doğangiller familyası, gündüz yırtıcı kuşları (Falconiformes) takımına aittir."
wiki_34,13271,Çiğli (anlam ayrımı),Çiğli ayrıca şu anlamlara gelebilir:,1,Çiğli ayrıca şu anlamlara gelebilir:,"Metindeki 'Çiğli ayrıca şu anlamlara gelebilir' cümlesi, 'Çiğli' kelimesinin anlamsal yapısı hakkında ne gibi bir bilgi vermektedir?","Bu cümle, 'Çiğli' kelimesinin tek bir anlama gelmediğini, yaygın bilinen bir tanımının yanı sıra başka farklı anlamlara veya bağlamlara da sahip olduğunu ve metnin bu ek anlamları listeleme amacında olduğunu belirtmektedir."
wiki_39,15573,İğne yapraklılar,"İğne yapraklılar (Pinales), bitkiler (Plantae) âleminin açık tohumlular (Pinophyta) bölümünde bulunan tek sınıf olan Pinopsida'ya dahil bir bitki takımıdır ve servigiller(ardıç, sekoya servi, yalancı servi, su sediri, mazı, yalancı mazı ) çamgiller (sedir,çam, göknar, ladin) ve porsuk gibi soyu sürmekte olan tüm kozalaklı bitkileri içerir.
 ▪ Cordaitales
 ▪ Vojnovskyales
 ▪ Voltziales",1,"İğne yapraklılar (Pinales), bitkiler (Plantae) âleminin açık tohumlular (Pinophyta) bölümünde bulunan tek sınıf olan Pinopsida'ya dahil bir bitki takımıdır ve servigiller(ardıç, sekoya servi, yalancı servi, su sediri, mazı, yalancı mazı ) çamgiller (sedir,çam, göknar, ladin) ve porsuk gibi soyu sürmekte olan tüm kozalaklı bitkileri içerir.","İğne yapraklılar (Pinales) takımı, genel olarak hangi familyalardan ve bitki türlerinden oluşur?","İğne yapraklılar takımı; servigiller (ardıç, sekoya servi, yalancı servi, su sediri, mazı, yalancı mazı), çamgiller (sedir, çam, göknar, ladin) ve porsuk gibi soyu sürmekte olan tüm kozalaklı bitkileri içerir."
wiki_42,16626,Gauss,Gauss kelimesinin birden fazla anlamı vardır:,1,Gauss kelimesinin birden fazla anlamı vardır:,Metne göre Gauss kelimesinin anlamları hakkında ne bilgi verilmektedir?,"Metin, Gauss kelimesinin birden fazla anlamı olduğunu belirtmektedir."
wiki_54,24820,Auguste Villiers de l'Isle-Adam,"Jean-Marie-Mathias-Philippe-Auguste, comte de Villiers de l'Isle-Adam (7 Kasım 1838 - 19 Ağustos 1889), Fransız bilimkurgu roman yazarı.",1,"Jean-Marie-Mathias-Philippe-Auguste, comte de Villiers de l'Isle-Adam (7 Kasım 1838 - 19 Ağustos 1889), Fransız bilimkurgu roman yazarı.","Jean-Marie-Mathias-Philippe-Auguste, comte de Villiers de l'Isle-Adam kimdir?","O, 7 Kasım 1838 - 19 Ağustos 1889 tarihleri arasında yaşamış Fransız bilimkurgu roman yazarıdır."
wiki_56,25895,Ördek,"Ördek, ""Anatinae"" alt familyasından, tıknaz gövdeli, kısa bacaklı ve kısa boyunlu, yassı gagalı, paytak yürüyüşlü, tavuktan daha iri, yabanıl ve evcil türleri bulunan, eti ve yumurtası yenen bir su kuşu.",1,"Ördek, ""Anatinae"" alt familyasından, tıknaz gövdeli, kısa bacaklı ve kısa boyunlu, yassı gagalı, paytak yürüyüşlü, tavuktan daha iri, yabanıl ve evcil türleri bulunan, eti ve yumurtası yenen bir su kuşu.",Metne göre ördeğin fiziksel özellikleri ve türleri nasıl tanımlanır?,"Ördek, tıknaz gövdeli, kısa bacaklı, kısa boyunlu, yassı gagalı ve paytak yürüyüşlü bir su kuşudur. Ayrıca yabanıl ve evcil türleri bulunmaktadır."
wiki_61,28612,Amanita pantherina,"Amanita pantherina, ""Amanita"" cinsine bağlı zehirli bir mantar türüdür.",1,"Amanita pantherina, ""Amanita"" cinsine bağlı zehirli bir mantar türüdür.",Amanita pantherina nasıl bir mantar türüdür?,"Amanita pantherina, ""Amanita"" cinsine bağlı zehirli bir mantar türüdür."
wiki_63,30175,Domain,"Domain, Latinceden gelen bir terim: ""dominus"" = sahip",1,"Domain, Latinceden gelen bir terim: ""dominus"" = sahip",Domain teriminin Latincedeki kökeni olan 'dominus' kelimesinin Türkçe karşılığı nedir?,Sahip
wiki_67,35747,Göztepe Camii,"Tütüncü Mehmet Halis Efendi, Göztepe Tren İstasyonu'nun yanına kendi ismiyle anılan camiyi 1902 yılında duvarları kâgir, çatısı ahşap, minaresi tuğladan olmak üzere yaptırmıştır.",1,"Tütüncü Mehmet Halis Efendi, Göztepe Tren İstasyonu'nun yanına kendi ismiyle anılan camiyi 1902 yılında duvarları kâgir, çatısı ahşap, minaresi tuğladan olmak üzere yaptırmıştır.",Tütüncü Mehmet Halis Efendi'nin 1902'de yaptırdığı caminin yapısal özellikleri nelerdir?,"Caminin duvarları kâgir, çatısı ahşap ve minaresi tuğladan yapılmıştır."
wiki_69,37193,Diplomatik nota,"Diplomatik nota, dış politikada bir devletin başka bir devlete siyasi sorunlar, iş birliği önerileri, anlaşma teklifleri, bilgilendirme ve benzeri konularla ilgili olarak yolladığı yazılara denir.",1,"Diplomatik nota, dış politikada bir devletin başka bir devlete siyasi sorunlar, iş birliği önerileri, anlaşma teklifleri, bilgilendirme ve benzeri konularla ilgili olarak yolladığı yazılara denir.",Diplomatik nota tam olarak nedir?,"Diplomatik nota, dış politikada bir devletin başka bir devlete siyasi sorunlar, iş birliği önerileri, anlaşma teklifleri, bilgilendirme gibi çeşitli konularda yolladığı yazılı iletişim biçimine denir."
wiki_70,37854,Phylloscopus trochilus,"Phylloscopus trochilus, ""Phylloscopus"" cinsine bağlı bir kuş türüdür.",1,"Phylloscopus trochilus, ""Phylloscopus"" cinsine bağlı bir kuş türüdür.",Phylloscopus trochilus ne tür bir canlıdır?,"""Phylloscopus"" cinsine bağlı bir kuş türüdür."
wiki_72,39911,Fizikçi,"Fizikçi, fizik ile uğraşan, bu konuda eğitim görmüş veya fizik alanında önemli gelişmelere imkân vermiş olan kişilerdir.",1,"Fizikçi, fizik ile uğraşan, bu konuda eğitim görmüş veya fizik alanında önemli gelişmelere imkân vermiş olan kişilerdir.",Bu metne göre bir kişinin 'fizikçi' olarak tanımlanması için hangi özelliklere sahip olması gerekir?,"Metne göre bir kişi; fizik ile uğraşan, fizik alanında eğitim görmüş veya fizik alanında önemli gelişmelere imkân vermiş olduğunda fizikçi olarak tanımlanır."
wiki_81,47735,"Aksu, Isparta","Aksu, Isparta ilinin bir ilçesidir.
İlçeye bağlı 13 köy bulunmaktadır.",2,İlçeye bağlı 13 köy bulunmaktadır.,Aksu ilçesine bağlı kaç köy bulunmaktadır?,Aksu ilçesine bağlı 13 köy bulunmaktadır.
wiki_82,47841,Domaniç,Domaniç Kütahya ilinin bir ilçesidir.,1,Domaniç Kütahya ilinin bir ilçesidir.,Domaniç hangi ilin ilçesidir?,Kütahya ilinin.
wiki_83,48077,Azda,"Azda, Yezidilik inancında başmelek ve insanlığın yaratıcısı olduğuna inanılan Melek Tavus'u yaratan tanrı.
İnanışa göre Tanrı Azda Melek Tavus'a kendi yarattığı insanların önünde secde etmesini buyurmuş ancak Melek Tavus bunun şirk (monoteizmde bir olan Tanrı'ya ortak koşma) olacağını düşünerek insanlara secde etmeyi reddetmiş, bunun karşılığında da yaptığı kibir olarak yorumlanmıştır.",2,"İnanışa göre Tanrı Azda Melek Tavus'a kendi yarattığı insanların önünde secde etmesini buyurmuş ancak Melek Tavus bunun şirk (monoteizmde bir olan Tanrı'ya ortak koşma) olacağını düşünerek insanlara secde etmeyi reddetmiş, bunun karşılığında da yaptığı kibir olarak yorumlanmıştır.","Melek Tavus, Tanrı Azda'nın emrine rağmen neden insanlara secde etmeyi reddetmiştir?","Melek Tavus, insanlara secde etmenin şirk (monoteizmde bir olan Tanrı'ya ortak koşma) olacağını düşündüğü için reddetmiştir."
wiki_89,52893,Dime,"Dime, ABD ve Kanada'da on sentlik madeni paralara verilen isimdir.",1,"Dime, ABD ve Kanada'da on sentlik madeni paralara verilen isimdir.",ABD ve Kanada'da on sentlik madeni paralara verilen isim nedir?,"Bu paralara ""Dime"" adı verilir."
wiki_92,54651,En Değerli Müşteri Grubu,"En Değerli Müşteri Grubu (Most Valuable Customers - MVC), bir firma için gerçek değeri en yüksek, en kârlı, en bağlı ve firma ile en fazla iş birliği yapan ya da yapmak isteyen müşteri tipidir.",1,"En Değerli Müşteri Grubu (Most Valuable Customers - MVC), bir firma için gerçek değeri en yüksek, en kârlı, en bağlı ve firma ile en fazla iş birliği yapan ya da yapmak isteyen müşteri tipidir.","Metne göre, bir 'En Değerli Müşteri Grubu'nu (MVC) tanımlayan ana özellikler nelerdir?","En Değerli Müşteri Grubu (MVC), bir firma için gerçek değeri en yüksek, en kârlı, en bağlı ve firma ile en fazla iş birliği yapan ya da yapmak isteyen müşteri tipidir."
wiki_93,55610,Sığırlar,"Sığırlar (Bovinae), memeli hayvanların çift toynaklılar (Artiodactyla) takımının, boynuzlugiller (Bovidae) familyasına giren bir alt familya.",1,"Sığırlar (Bovinae), memeli hayvanların çift toynaklılar (Artiodactyla) takımının, boynuzlugiller (Bovidae) familyasına giren bir alt familya.","Metne göre, Sığırlar (Bovinae) hangi biyolojik sınıflandırma kategorilerine aittir?","Metinde belirtildiği üzere Sığırlar (Bovinae), memeli hayvanların çift toynaklılar (Artiodactyla) takımının, boynuzlugiller (Bovidae) familyasına giren bir alt familyadır."
wiki_95,57271,Arthropoda,"Arthropoda, Ecdysozoa üstşubesine bağlı bir hayvan şubesidir.",1,"Arthropoda, Ecdysozoa üstşubesine bağlı bir hayvan şubesidir.",Arthropoda hangi üstşubeye bağlı bir hayvan şubesidir?,"Arthropoda, Ecdysozoa üstşubesine bağlı bir hayvan şubesidir."
wiki_96,58433,Gipsy Kings,"Gipsy Kings, Rumba-flamenko tarzı müzikleriyle tanınan, İspanyol Çingenelerinden oluşan müzik grubu.",1,"Gipsy Kings, Rumba-flamenko tarzı müzikleriyle tanınan, İspanyol Çingenelerinden oluşan müzik grubu.",Gipsy Kings grubu hangi etnik kökenden gelmektedir?,İspanyol Çingenelerinden.
wiki_97,59544,Tenenit,"Tenenit, Mısır mitolojisindeki bira tanrıçası.",1,"Tenenit, Mısır mitolojisindeki bira tanrıçası.",Tenenit kimdir?,Mısır mitolojisindeki bira tanrıçasıdır.
wiki_98,64130,Yeşil yem,"Yeşil yem, yaprak ve filizlerini üzerinde bulunduran, genellikle otlatılarak veya biçilerek hayvanlara yedirilen tüm bitkilere verilen isim (fiğ, burçak, yonca, korunga ve yulaf başlıcalarıdır).",1,"Yeşil yem, yaprak ve filizlerini üzerinde bulunduran, genellikle otlatılarak veya biçilerek hayvanlara yedirilen tüm bitkilere verilen isim (fiğ, burçak, yonca, korunga ve yulaf başlıcalarıdır).",Metinde yeşil yeme örnek olarak hangi bitkiler belirtilmiştir?,"Fiğ, burçak, yonca, korunga ve yulaf başlıca yeşil yem örnekleridir."
wiki_01,66989,Biraz da Sen Ağla,"Biraz da Sen Ağla, Ahmet Kaya öldükten sonra çıkarılan albümdür.",1,"Biraz da Sen Ağla, Ahmet Kaya öldükten sonra çıkarılan albümdür.",Ahmet Kaya'nın vefatından sonra piyasaya sürülen albümün adı nedir?,Biraz da Sen Ağla.
wiki_06,72263,FTP istemcileri listesi,FTP istemcileri listesi.,1,FTP istemcileri listesi.,Verilen metin neyi belirtmektedir?,"Metin, bir FTP istemcileri listesi olduğunu belirtmektedir."
wiki_07,73403,PS,PS bir kısaltmadır.,1,PS bir kısaltmadır.,PS nedir?,PS bir kısaltmadır.
wiki_09,75726,Burun boşluğu,"Burun boşluğu (nazal kavite veya nazal boşluk) yüzün ortasında burnun arkasında ve üstünde bulunan hava ile dolu, büyük bir boşluktur.",1,"Burun boşluğu (nazal kavite veya nazal boşluk) yüzün ortasında burnun arkasında ve üstünde bulunan hava ile dolu, büyük bir boşluktur.",Burun boşluğu vücudun neresinde yer alır?,"Burun boşluğu, yüzün ortasında, burnun arkasında ve üstünde bulunur."
wiki_10,76745,Türkiye'deki dağlar listesi,"Bu maddede Türkiye'deki dağlar, deniz seviyesinden yüksekliklerine göre sıralanmışlardır.",1,"Bu maddede Türkiye'deki dağlar, deniz seviyesinden yüksekliklerine göre sıralanmışlardır.",Metne göre Türkiye'deki dağlar neye göre sıralanmıştır?,Deniz seviyesinden yüksekliklerine göre sıralanmışlardır.
wiki_16,85504,Iguazu,Iguazu Hydrobiosini oymağına bağlı bir cinstir.,1,Iguazu Hydrobiosini oymağına bağlı bir cinstir.,Iguazu hangi oymağa bağlı bir cinstir?,"Iguazu, Hydrobiosini oymağına bağlı bir cinstir."
wiki_17,87741,Pis Yedili,"Pis Yedili, şansla birlikte taktik faktörünün de esas olduğu bir iskambil oyunudur.",1,"Pis Yedili, şansla birlikte taktik faktörünün de esas olduğu bir iskambil oyunudur.",Pis Yedili oyununda hangi iki faktör esas olarak belirtilmiştir?,Şans ve taktik faktörü.
wiki_18,89899,Eris,Eris değişik anlamları olan bir kelimedir ve,1,Eris değişik anlamları olan bir kelimedir.,Metindeki bilgiye göre Eris kelimesinin belirgin özelliği nedir?,"Metne göre Eris, değişik anlamları olan bir kelimedir."
wiki_19,90994,Caretta,"Caretta, Carettinae altfamilyasına bağlı bir hayvan cinsidir.",1,"Caretta, Carettinae altfamilyasına bağlı bir hayvan cinsidir.","Caretta, taksonomik olarak hangi gruba aittir?","Caretta, Carettinae altfamilyasına bağlı bir hayvan cinsidir."
wiki_22,94802,LAES,"LAES (özgün adıyla Sistema Económico Latinoamericano y del Caribe), Latin Amerika'da işbirliğini artırmayı amaçlayan bir teşkilatlanmadır.",1,"LAES (özgün adıyla Sistema Económico Latinoamericano y del Caribe), Latin Amerika'da işbirliğini artırmayı amaçlayan bir teşkilatlanmadır.",LAES'in temel amacı nedir?,Latin Amerika'da işbirliğini artırmayı amaçlamaktadır.
wiki_25,98826,Bensheim,"Bensheim, Almanya'nın Hessen eyâletinde bir beldedir.",1,"Bensheim, Almanya'nın Hessen eyâletinde bir beldedir.",Bensheim nerede yer almaktadır?,"Bensheim, Almanya'nın Hessen eyâletinde bir beldedir."
wiki_26,100251,The First Album,Modern Talking'in 1985 yılında çıkarmış oldukları ilk albümü.,1,Modern Talking'in 1985 yılında çıkarmış oldukları ilk albümü.,Modern Talking'in ilk albümü hangi yıl yayımlanmıştır?,1985 yılında.
wiki_29,103547,Rosenrot,"Rosenrot, Rammstein adlı Alman metal grubunun çıkardığı beşinci albümdür, ayrıca bu albüm 1 Kasım 2005 tarihi gün sayımı ile çıkarılmıştır.",1,"Rosenrot, Rammstein adlı Alman metal grubunun çıkardığı beşinci albümdür, ayrıca bu albüm 1 Kasım 2005 tarihi gün sayımı ile çıkarılmıştır.",Rammstein'ın 'Rosenrot' adlı albümü ne zaman piyasaya sürülmüştür ve grubun kaçıncı albümüdür?,'Rosenrot' albümü 1 Kasım 2005 tarihinde çıkarılmıştır ve Rammstein grubunun beşinci albümüdür.
wiki_30,104900,Maine de Biran,"Maine de Biran, (29 Kasım 1766, Bergerac - 20 Temmuz 1824, Paris), Fransız spiritüalist filozoftur.",1,"Maine de Biran, (29 Kasım 1766, Bergerac - 20 Temmuz 1824, Paris), Fransız spiritüalist filozoftur.",Maine de Biran hangi alanda tanınmış bir filozoftur?,"Maine de Biran, Fransız spiritüalist bir filozoftur."
wiki_32,106913,Corpus callosum,"Korpus kallozum (sert cisim ya da nasırlı cisim), beynin her iki hemisferi arasındaki bilgi iletişimini sağlayan sinir ağlarından oluşan yapıdır.",1,"Korpus kallozum (sert cisim ya da nasırlı cisim), beynin her iki hemisferi arasındaki bilgi iletişimini sağlayan sinir ağlarından oluşan yapıdır.",Korpus kallozum'un temel görevi nedir?,Beynin her iki hemisferi arasındaki bilgi iletişimini sağlamaktır.
wiki_33,108621,Amia,"Amia, Amiidae familyasına bağlı bir hayvan cinsidir.",1,"Amia, Amiidae familyasına bağlı bir hayvan cinsidir.",Amia hangi familyaya bağlıdır?,Amiidae familyasına bağlıdır.
wiki_35,111983,"Alamut, Bozdoğan","Alamut, Aydın ilinin Bozdoğan ilçesine bağlı bir mahalledir.",1,"Alamut, Aydın ilinin Bozdoğan ilçesine bağlı bir mahalledir.",Alamut hangi ilin hangi ilçesine bağlıdır?,Aydın ilinin Bozdoğan ilçesine bağlıdır.
wiki_36,113178,Trigla lyra,"Trigla lyra, Trigla cinsine ait bir deniz balığı türüdür.",1,"Trigla lyra, Trigla cinsine ait bir deniz balığı türüdür.",Trigla lyra ne tür bir canlıdır?,Trigla cinsine ait bir deniz balığı türüdür.
wiki_37,114799,Ramoth,Ramoth birden fazla anlama gelebilir:,1,Ramoth birden fazla anlama gelebilir:,Metne göre Ramoth'un temel özelliği nedir?,"Metne göre Ramoth'un temel özelliği, birden fazla anlama gelebilmesidir."
wiki_39,118178,Aldrichetta,"Aldrichetta, Mugilidae familyasına bağlı bir hayvan cinsidir.",1,"Aldrichetta, Mugilidae familyasına bağlı bir hayvan cinsidir.",Aldrichetta hangi familyaya bağlı bir cinstir?,"Aldrichetta, Mugilidae familyasına bağlı bir hayvan cinsidir."
wiki_40,119519,Praseodim,"Praseodim (Kısaltması/sembol Pr), atom numarası 59, atom ağırlığı 140,92 olan, soluk sarı renkli bir element.",1,"Praseodim (Kısaltması/sembol Pr), atom numarası 59, atom ağırlığı 140,92 olan, soluk sarı renkli bir element.",Praseodim'in atom numarası kaçtır?,Praseodim'in atom numarası 59'dur.
wiki_42,121391,"Evciler, Çine","Evciler, Aydın ilinin Çine ilçesine bağlı bir mahalledir.",1,"Evciler, Aydın ilinin Çine ilçesine bağlı bir mahalledir.",Evciler hangi ilin hangi ilçesine bağlı bir mahalledir?,"Evciler, Aydın ilinin Çine ilçesine bağlı bir mahalledir."
wiki_44,124563,Fibril,Bağ dokusunu oluşturan maddelerden olan fibriller uzun peptit zincirlerinden oluşan proteinlerden meydana gelirler.,1,Bağ dokusunu oluşturan maddelerden olan fibriller uzun peptit zincirlerinden oluşan proteinlerden meydana gelirler.,Fibriller neyden meydana gelir?,"Fibriller, uzun peptit zincirlerinden oluşan proteinlerden meydana gelirler."
wiki_47,129776,Rush,"Rush şu anlamlara gelebilmektedir:
* ""Rush (albüm)"" aynı adlı grubun albümü",1,"""Rush (albüm)"" aynı adlı grubun albümü","""Rush (albüm)"" hangi grubun albümüdür?",Aynı adlı grubun albümüdür.
wiki_49,133356,Pan,"Pan - Bütün, tüm anlamı veren Yunanca önek'tir",1,"Pan - Bütün, tüm anlamı veren Yunanca önek'tir",Yunanca 'Pan' öneki hangi anlamlara gelir?,Yunanca 'Pan' öneki 'bütün' veya 'tüm' anlamlarına gelir.
wiki_51,136708,Versus the World,"Versus the World, İsveç death metal grubu Amon Amarth'ın dördüncü stüdyo albümü.",1,"Versus the World, İsveç death metal grubu Amon Amarth'ın dördüncü stüdyo albümü.",Versus the World hangi grubun albümüdür?,"Versus the World, İsveç death metal grubu Amon Amarth'ın albümüdür."
wiki_52,137832,"Ektirli, Karpuzlu","Ektirli, Aydın ilinin Karpuzlu ilçesine bağlı bir mahalledir.",1,"Ektirli, Aydın ilinin Karpuzlu ilçesine bağlı bir mahalledir.","Ektirli, Türkiye'nin hangi il ve ilçesine bağlı bir yerleşim yeridir?","Ektirli, Aydın ilinin Karpuzlu ilçesine bağlı bir mahalledir."
wiki_54,141480,Zhejiang,"Zhejiang () ya da Türkçesiyle Cıciang veya Cıcianğ, Çin'in doğusunda endüstrisi önemli olan bir eyalet.",1,"Zhejiang () ya da Türkçesiyle Cıciang veya Cıcianğ, Çin'in doğusunda endüstrisi önemli olan bir eyalet.",Zhejiang eyaletinin temel özelliği nedir?,Endüstrisinin önemli olmasıdır.
wiki_56,145374,"Akköy, Didim","Akköy, Aydın ilinin Didim ilçesine bağlı bir mahalledir.",1,"Akköy, Aydın ilinin Didim ilçesine bağlı bir mahalledir.",Akköy nerede yer almaktadır?,Aydın ilinin Didim ilçesine bağlı bir mahalledir.
wiki_57,146196,Artemis (anlam ayrımı),Diğer:,1,Verilen metin boş olduğu için anlamlı bir cümle seçilememiştir.,"Metin boş olduğunda, bir cümle seçmek ve buna dayanarak soru-cevap oluşturmak mümkün müdür?","Hayır, metin boş olduğu için bu işlem gerçekleştirilemez."
wiki_59,150820,M110,Eski nesil kundağı motorlu obüs sistemi.,1,Eski nesil kundağı motorlu obüs sistemi.,Metinde bahsedilen obüs sisteminin iki temel özelliği nelerdir?,"Bu sistemin 'eski nesil' olması teknolojik olarak güncel olmadığını, 'kundağı motorlu' olması ise kendi başına hareket edebildiğini gösterir."
wiki_60,152538,Orthogastropoda,"Orthogastropoda, Gastropoda sınıfına bağlı bir hayvan altsınıftır.",1,"Orthogastropoda, Gastropoda sınıfına bağlı bir hayvan altsınıftır.",Orthogastropoda hangi hayvan sınıfına bağlıdır?,"Orthogastropoda, Gastropoda sınıfına bağlıdır."
wiki_61,154154,Kol kısalığı,"Kol kısalığı, kemik gelişim sürecinde kemiklerin tam gelişememesi neticisinde sağ kolun sol kola göre veya sol kolun sağ kola göre kısa kalması veya her iki kolda vucuta orantısız kol boyu oluşmasıdır.",1,"Kol kısalığı, kemik gelişim sürecinde kemiklerin tam gelişememesi neticesinde sağ kolun sol kola göre veya sol kolun sağ kola göre kısa kalması veya her iki kolda vucuta orantısız kol boyu oluşmasıdır.",Metne göre kol kısalığı nedir?,"Kol kısalığı, kemik gelişim sürecinde kemiklerin tam gelişememesi neticesinde sağ kolun sol kola göre veya sol kolun sağ kola göre kısa kalması veya her iki kolda vücuda orantısız kol boyu oluşmasıdır."
wiki_62,156210,Kabalacılık,"Kabalacılık veya Kabalizm, Kabbala'ya dayanan manevi araştırma ve fikir sistemi.",1,"Kabalacılık veya Kabalizm, Kabbala'ya dayanan manevi araştırma ve fikir sistemi.",Metinde Kabalacılık veya Kabalizm nasıl tanımlanmıştır?,"Metinde Kabalacılık veya Kabalizm, Kabbala'ya dayanan manevi bir araştırma ve fikir sistemi olarak tanımlanmıştır."
wiki_63,159128,2006 Bahreyn Grand Prix,"2006 Bahreyn Grand Prix, 2006 yılındaki Formula 1 yarışlarının Bahreyn etabıdır.",1,"2006 Bahreyn Grand Prix, 2006 yılındaki Formula 1 yarışlarının Bahreyn etabıdır.",2006 Bahreyn Grand Prix nedir?,"2006 Bahreyn Grand Prix, 2006 yılındaki Formula 1 yarışlarının Bahreyn etabıdır."
